allusion	variation_list
五色笔（张协，江淹，郭璞，丘迟）	五色;江淹笔;江毫;胸中锦绣;江锦;梦与丘迟;彩毫还郭璞;尺锦才情;腹内胎生异锦;景阳锦;蜀锦词华;文作锦;彩笔;残锦;锦段残;文章腹，千机锦;一枝色笔还郭璞
十二楼	十二楼;阆风;昆阆;曾城;玄圃殿;昆山;五城
穿杨（养由基）	穿杨叶;养由;百中难;楚臣弓;由基;破叶箭;养基抚弦;由基控繁弱;百发碎柳;一叶先穿
伏波（路博德，马援）	马伏波;马将军;马援
屈原	大夫;灵均;屈平;屈原;三闾
细腰（楚灵王）	楚宫细腰;小腰肢;纤腰学楚
弦歌（子游，孔子）	牛刀割鸡
题桥（司马相如）	驷马归;题桥柱;迎相如;长卿驷马;关门驷马;含羞入剑关;车骑重归;骋驺引;赤车蜀道;剑阁题词;驷马炫乡关;马
封禅草（司马相如）	封禅;茂陵;长卿书;给札老相如;留简书;相如
原宪贫（原宪）	原宪贫;衣百结;贫非疚;杖藜裹饭;原门席
乘轩（卫懿公）	乘轩卫鹤;大夫轩;懿公轩
秦镜	秦镜照胆;方镜;秦台破心胆;见胆明镜;咸阳镜;肝胆难隐
陈琳（陈琳，曹操）	头风;陈琳檄;曹风;草檄
箕颍（尧，许由，巢父）	箕山;洗耳;许由耳;耳本不闻;武仲天下让;有耳莫洗;水
横汾（刘彻）	秋风;横汾;济汾;歌汾水
飞燕（赵飞燕）	飞燕
永和（王羲之）	兰亭;山阴禊饮;群贤毕集;永和;禊亭晋帖;长少群贤毕会
右军鹅（王羲之）	山阴道士鹅;换鹅;右军鹅;博白鹅;鹅费羲之墨;鹅归逸少;写黄庭不要鹅;好鹅寻道士;将鹅与右军;笼归忆右军;笼随王右军;内史写黄庭;山阴书罢;挥翰邀鹅;挥帖致白鹅;笼鹅;书经爱鹅;学溪老鹅
长门	长门
王母桃（东方朔，汉武帝）	王母桃;千年桃;种桃核;几度桃实;海中桃熟;三千年一荐金盘;一熟一千年;一子千年见;华实三度;王母过汉家;王母过刘彻;著子三千岁
长缨（终军）	请长缨;系虏;终军愤;终童志;南越书生;系南越
文翁	文翁
含香	含鸡舌;汉署香;含香;鸡香
悬剑（季札，徐君）	剑;逢贤把赠;延陵心;延陵轻宝剑;把剑觅徐君;带邱墓;宝剑非所惜;挂坟松;挂剑酬知己;剑挂宰上;结交期一剑;相酬无宝剑;延州空挂;树头千金剑;信义高吴季
专城	专城
东篱（陶潜）	东篱菊;渊明菊;彭泽菊;把菊见南山;篱下先生;菊在陶家;菊姓陶;陶诗黄金实
